scenario,symbol,regime,mechanism,arm,repeat,kb_entries,chosen_idx,chosen_name,holdout_score,holdout_trades,best_holdout,regret,error
ETH/USDT|high_vol|momentum,ETH/USDT,high_vol,momentum,C,3,13,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,N,1,0,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,N,2,0,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,N,3,0,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,A,1,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,A,2,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,A,3,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,B,1,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,B,2,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,B,3,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,C,1,13,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,C,2,13,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|mean_reversion,ETH/USDT,trending_bull,mean_reversion,C,3,13,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,N,1,0,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,N,2,0,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,N,3,0,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,A,1,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,A,2,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,A,3,15,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,B,1,7,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,B,2,7,0,MACD_DeathCross_Short_Mid,0.6845,43,0.697,0.0125,
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,B,3,7,,,,,0.697,,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API."
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,C,1,13,,,,,0.697,,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API."
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,C,2,13,,,,,0.697,,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API."
ETH/USDT|trending_bull|momentum,ETH/USDT,trending_bull,momentum,C,3,13,,,,,0.697,,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API."
